minutes_watched,CLV,region,channel,1,2,3,4,5,6,7,8,PCA_PC1,PCA_PC2,GMM_Segment
94.0,149.99,2,1,1,0,0,0,0,0,0,0,1.2760165776531223,-0.4916894408785478,0
5554.0,484.69,1,3,0,0,1,0,0,0,0,0,-1.9506713110372909,4.744523545818835,2
228.0,64.8,0,7,0,0,0,0,0,0,1,0,-1.542237861924254,-1.117612301568281,3
7270.0,302.48,0,3,0,0,1,0,0,0,0,0,-2.7732505233066482,1.62195602489684,2
126.0,91.5,2,3,0,0,1,0,0,0,0,0,1.3552374610026328,1.122511583910266,0
6012.0,207.06,2,7,0,0,0,0,0,0,1,0,1.4152789668347694,0.5087041806109511,0
6197.0,169.04,1,1,1,0,0,0,0,0,0,0,-0.7554417389877942,1.2211823867853033,2
4139.0,331.99,2,3,0,0,1,0,0,0,0,0,0.5466291873252168,2.4556415917253847,2
828.0,233.63,1,1,1,0,0,0,0,0,0,0,-0.9879590238306276,1.4255993817196453,2
2076.0,36.0,2,3,0,0,1,0,0,0,0,0,1.5486925515812904,0.8833927550074805,0
2967.0,62.58,2,3,0,0,1,0,0,0,0,0,1.4603866610493736,1.0413994237756015,0
115.0,150.64,0,1,1,0,0,0,0,0,0,0,-2.1538711230278444,-1.2442925467804362,3
2719.0,187.57,2,3,0,0,1,0,0,0,0,0,1.034573865942379,1.678655020055879,0
1166.0,62.58,2,1,1,0,0,0,0,0,0,0,1.5759414393740159,-0.9159319156132675,0
2432.0,149.99,2,1,1,0,0,0,0,0,0,0,1.2815812349458433,-0.43597366588909003,0
6261.0,245.98,2,1,1,0,0,0,0,0,0,0,0.9641315989525543,0.14921264424653866,0
22927.0,245.98,0,3,0,0,1,0,0,0,0,0,-2.54376944638461,1.7043365101735213,2
5912.0,279.59,2,1,1,0,0,0,0,0,0,0,0.8489579646583449,0.31384398348183923,0
5935.0,245.98,2,3,0,0,1,0,0,0,0,0,0.8435143629454407,2.0558564501013716,0
25.0,149.68,0,1,1,0,0,0,0,0,0,0,-2.150819361068575,-1.2513772010699138,3
15163.0,149.99,2,1,1,0,0,0,0,0,0,0,1.3118821981595434,-0.13258721105984023,0
4199.0,149.99,2,3,0,0,1,0,0,0,0,0,1.1659455334612554,1.5205474355401374,0
2334.0,248.43,0,2,0,1,0,0,0,0,0,0,-2.2151950096866257,-0.31235536579850154,3
19502.0,171.58,2,1,1,0,0,0,0,0,0,0,1.248759109662354,0.08190989540349955,0
4087.0,184.44,0,1,1,0,0,0,0,0,0,0,-2.259406765690085,-0.9757118052085492,3
302.0,150.0,2,3,0,0,1,0,0,0,0,0,1.156636290751534,1.427731324410271,0
6853.0,149.99,2,3,0,0,1,0,0,0,0,0,1.1722623001228814,1.583793657448615,0
3194.0,62.58,2,7,0,0,0,0,0,0,1,0,1.9001003986676483,-0.30190621368857795,0
43.0,63.63,2,3,0,0,1,0,0,0,0,0,1.4498551142523726,0.9771219822534348,0
2311.0,147.0,2,1,1,0,0,0,0,0,0,0,1.2914653804379208,-0.4542429110337207,0
2387.0,207.57,1,6,0,0,0,0,0,1,0,0,-0.7944702226168014,2.180667386236049,2
